City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
642,Maceio,BR,73.4,broken clouds,-9.6658,-35.7353,Maceió
644,Koumac,NC,79.11,overcast clouds,-20.5667,164.2833,Koumac
645,Miramar,US,82.4,few clouds,25.9873,-80.2323,Hollywood
647,Nortelandia,BR,76.98,broken clouds,-14.4547,-56.8028,Nortelândia
650,Kavieng,PG,81.99,light rain,-2.5744,150.7967,Kaewieng
651,Anupgarh,IN,78.91,clear sky,29.1911,73.2086,Anupgarh
652,Natal,BR,77,scattered clouds,-5.795,-35.2094,Natal
653,Itarema,BR,80.49,scattered clouds,-2.9248,-39.9167,Itarema
656,Ojinaga,MX,87.8,clear sky,29.5667,-104.4167,Ojinaga
657,Yarada,IN,77,mist,17.65,83.2667,Visakhapatnam
663,San Lorenzo,PY,86,clear sky,-25.3333,-57.5333,San Lorenzo
666,Nayagarh,IN,73.24,clear sky,20.1333,85.1,Nayagarh
667,Houma,US,73.4,overcast clouds,29.5958,-90.7195,Houma
668,Acaponeta,MX,88.59,scattered clouds,22.4964,-105.3594,Acaponeta
671,Mahajanga,MG,77,few clouds,-15.7167,46.3167,Mahajanga
674,Angoche,MZ,76.17,light rain,-16.2325,39.9086,Angoche Island
677,Ranong,TH,77.47,broken clouds,9.9658,98.6348,Bang Rin
