City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
115,Haines Junction,CA,60.7522,-137.5108,8.6,23,97,5.75,overcast clouds,2022-08-10 22:44
116,Leland,US,34.2563,-78.0447,73.4,73,40,8.05,scattered clouds,2022-08-10 22:45
117,Sobolevo,RU,54.4299,31.8996,39.42,73,18,9.91,few clouds,2022-08-10 22:45
118,Acapulco,MX,16.8634,-99.8901,84.2,70,40,10.36,scattered clouds,2022-08-10 22:44
119,Thompson,CA,55.7435,-97.8558,39.2,56,40,8.05,scattered clouds,2022-08-10 22:45
120,Mgachi,RU,51.05,142.2667,45.07,55,32,16.31,scattered clouds,2022-08-10 22:45
121,Araouane,ML,18.9048,-3.5265,89.01,9,0,8.12,clear sky,2022-08-10 22:36
122,Benemerito De Las Americas,MX,16.5167,-90.6439,95.59,35,44,3.24,scattered clouds,2022-08-10 22:45
123,Sechura,PE,-5.5569,-80.8222,77.22,66,51,14.29,broken clouds,2022-08-10 22:45
124,Dikson,RU,73.5069,80.5464,18.84,90,92,22.48,overcast clouds,2022-08-10 22:45
125,Comodoro Rivadavia,AR,-45.8667,-67.5,59,51,0,23.02,clear sky,2022-08-10 22:45
126,Huarmey,PE,-10.0681,-78.1522,70.68,85,74,5.59,broken clouds,2022-08-10 22:45
127,Nyurba,RU,63.2842,118.3319,6.04,91,100,7.81,overcast clouds,2022-08-10 22:31
128,Portland,US,45.5234,-122.6762,51.01,55,100,7,overcast clouds,2022-08-10 22:34
129,Mauriti,BR,-7.3892,-38.7744,84.2,61,20,4.61,few clouds,2022-08-10 22:45
130,Touros,BR,-5.1989,-35.4608,77,88,40,4.61,scattered clouds,2022-08-10 22:45
131,Cayenne,GF,4.9333,-52.3333,75.2,100,90,4.61,light rain,2022-08-10 22:45
132,Viedma,AR,-40.8135,-62.9967,60.03,59,97,4.81,overcast clouds,2022-08-10 22:43
133,Lichuan,CN,30.3,108.85,45.5,97,100,2.73,overcast clouds,2022-08-10 22:45
134,Bredasdorp,ZA,-34.5322,20.0403,55.4,94,100,1.14,overcast clouds,2022-08-10 22:45
135,Clyde River,CA,70.4692,-68.5914,30.2,55,90,10.36,overcast clouds,2022-08-10 22:45
136,Wenling,CN,28.3669,121.36,62.01,95,100,7.16,light rain,2022-08-10 22:45
137,Zabol,AF,32.25,67.25,57.38,21,59,3.62,broken clouds,2022-08-10 22:45
138,Seoul,KR,37.5683,126.9778,44.6,87,0,3.44,clear sky,2022-08-10 22:43
139,Luderitz,NA,-26.6481,15.1594,72.45,53,0,7.63,clear sky,2022-08-10 22:45
140,Orchard Homes,US,46.8633,-114.0484,42.8,61,75,16.11,broken clouds,2022-08-10 22:45
141,Saint George,US,37.1041,-113.5841,82.99,7,1,12.66,clear sky,2022-08-10 22:36
142,Jacqueville,CI,5.2052,-4.4146,82.4,89,20,6.91,few clouds,2022-08-10 22:45
143,Baruun-Urt,MN,46.6806,113.2792,34.63,52,100,7.2,overcast clouds,2022-08-10 22:45
144,Bengkulu,ID,-3.8004,102.2655,74.97,88,61,4.09,broken clouds,2022-08-10 22:45
145,Sur,OM,22.5667,59.5289,79.66,62,1,10.71,clear sky,2022-08-10 22:45
146,Pangkalanbuun,ID,-2.6833,111.6167,75.04,97,79,0.67,light rain,2022-08-10 22:42
147,Gimli,CA,50.6336,-96.9907,37.4,81,64,4.61,broken clouds,2022-08-10 22:42
148,Nizhniy Tsasuchey,RU,50.5167,115.1333,30.29,45,99,10.18,overcast clouds,2022-08-10 22:45
149,Bawku,GH,11.0616,-0.2417,96.13,18,76,1.97,broken clouds,2022-08-10 22:45
150,The Pas,CA,53.8251,-101.2541,42.8,56,40,10.36,scattered clouds,2022-08-10 22:44
151,Taquari,BR,-29.7997,-51.8644,78.01,77,100,1.01,overcast clouds,2022-08-10 22:45
152,Cockburn Town,TC,21.4612,-71.1419,75.49,64,98,15.82,overcast clouds,2022-08-10 22:41
